ID,FCN3,CLEC4M,CLEC1B,PRC1,PBK
adjacent.non_tumor.125,12.0630371590947,8.62895571263495,9.91019281520229,5.11537311094441,3.7859520980515
adjacent.non_tumor.126,12.0630371590947,8.92164940124098,9.91019281520229,4.76023553748922,3.7859520980515
adjacent.non_tumor.127,10.9580890057463,9.91019281520229,8.30895863275114,6.16374267778794,5.11537311094441
adjacent.non_tumor.128,11.3079653801365,9.54233958004827,9.91019281520229,5.43504974362439,4.33743654503611
adjacent.non_tumor.129,11.6483061984071,7.58129064081714,9.91019281520229,5.11537311094441,3.7859520980515
adjacent.non_tumor.130,12.0630371590947,8.92164940124098,9.91019281520229,5.43504974362439,3.7859520980515
adjacent.non_tumor.131,12.0630371590947,8.62895571263495,9.54233958004827,5.93530141243336,3.7859520980515
adjacent.non_tumor.132,11.6483061984071,9.22911239136041,9.91019281520229,5.43504974362439,3.7859520980515
adjacent.non_tumor.133,12.0630371590947,8.62895571263495,9.91019281520229,4.33743654503611,3.7859520980515
adjacent.non_tumor.134,12.0630371590947,8.30895863275114,9.22911239136041,5.43504974362439,4.33743654503611
adjacent.non_tumor.135,11.3079653801365,8.62895571263495,9.22911239136041,5.70871118482334,3.7859520980515
adjacent.non_tumor.136,10.6421807720928,9.91019281520229,9.22911239136041,4.33743654503611,3.7859520980515
adjacent.non_tumor.137,12.0630371590947,8.30895863275114,8.92164940124098,4.76023553748922,4.33743654503611
adjacent.non_tumor.138,11.3079653801365,6.69968905996527,9.91019281520229,4.76023553748922,4.33743654503611
adjacent.non_tumor.139,12.0630371590947,8.02183075908386,9.91019281520229,5.43504974362439,3.7859520980515
adjacent.non_tumor.140,12.0630371590947,10.3058929384872,9.54233958004827,4.33743654503611,4.76023553748922
adjacent.non_tumor.141,12.0630371590947,9.54233958004827,9.91019281520229,4.76023553748922,3.7859520980515
adjacent.non_tumor.142,11.6483061984071,8.62895571263495,9.91019281520229,4.76023553748922,3.7859520980515
adjacent.non_tumor.143,12.0630371590947,8.02183075908386,9.22911239136041,3.7859520980515,4.33743654503611
adjacent.non_tumor.144,12.0630371590947,9.22911239136041,9.54233958004827,5.70871118482334,4.76023553748922
adjacent.non_tumor.145,11.6483061984071,8.02183075908386,9.22911239136041,4.33743654503611,3.7859520980515
adjacent.non_tumor.146,12.0630371590947,8.30895863275114,9.91019281520229,4.76023553748922,4.33743654503611
adjacent.non_tumor.147,12.0630371590947,9.54233958004827,10.3058929384872,5.11537311094441,4.33743654503611
adjacent.non_tumor.148,12.0630371590947,7.14792525945275,10.3058929384872,4.76023553748922,3.7859520980515
adjacent.non_tumor.149,12.0630371590947,8.62895571263495,9.54233958004827,3.7859520980515,4.33743654503611
adjacent.non_tumor.150,12.0630371590947,8.92164940124098,10.3058929384872,5.43504974362439,4.33743654503611
adjacent.non_tumor.151,12.0630371590947,8.30895863275114,9.91019281520229,4.33743654503611,4.76023553748922
adjacent.non_tumor.152,12.0630371590947,9.54233958004827,8.92164940124098,5.43504974362439,3.7859520980515
adjacent.non_tumor.153,12.0630371590947,9.54233958004827,10.3058929384872,3.7859520980515,4.76023553748922
adjacent.non_tumor.154,12.0630371590947,9.54233958004827,10.3058929384872,4.76023553748922,5.11537311094441
